ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-02T09:00:00.002340541Z,2025-01-02T09:00:00.002173888Z,10,2,16244,A,N,0,418.37,1,130,166653,282667,,418.37,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2025-01-02T09:00:00.021087009Z,2025-01-02T09:00:00.020920418Z,10,2,38,A,N,0,236.33,40,130,166591,283085,236.33,,40,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:00.021736941Z,2025-01-02T09:00:00.021570013Z,10,2,16244,A,A,1,436.45,175,130,166928,283107,,418.37,0,1,0,1,,436.45,0,175,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2025-01-02T09:00:00.022959521Z,2025-01-02T09:00:00.022792976Z,10,2,16244,A,B,0,405.1,500,130,166545,283129,405.1,418.37,500,1,1,1,,436.45,0,175,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2025-01-02T09:00:00.052863937Z,2025-01-02T09:00:00.052684493Z,10,2,16244,A,A,1,960,25,128,179444,283305,405.1,418.37,500,1,1,1,,432.68,0,1,0,1,,436.45,0,175,0,1,,960,0,25,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2025-01-02T09:00:00.052883442Z,2025-01-02T09:00:00.052705243Z,10,2,16244,A,B,1,367.93,24,130,178199,283333,405.1,418.37,500,1,1,1,367.93,432.68,24,1,1,1,,436.45,0,175,0,1,,960,0,25,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2025-01-02T09:00:00.085809212Z,2025-01-02T09:00:00.085640796Z,10,2,780,A,N,0,259.76,25,130,168416,284545,259.76,,25,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2025-01-02T09:00:00.085851917Z,2025-01-02T09:00:00.085676444Z,10,2,780,A,A,0,263.84,25,130,175473,284552,259.76,263.84,25,25,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2025-01-02T09:00:00.100732988Z,2025-01-02T09:00:00.100566523Z,10,2,38,A,B,0,251.1,400,130,166465,285157,251.1,,400,0,1,0,236.33,,40,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:00.100749424Z,2025-01-02T09:00:00.100580325Z,10,2,38,A,A,0,251.51,200,130,169099,285158,251.1,251.51,400,200,1,1,236.33,,40,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
